"filename", "language", "TypeScript", "TypeScript JSX", "CSS", "XML", "comment", "blank", "total"
"d:\GR\GR2\Frontend\src\App.css", "CSS", 0, 0, 0, 0, 42, 1, 43
"d:\GR\GR2\Frontend\src\App.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 4, 24
"d:\GR\GR2\Frontend\src\api\address.ts", "TypeScript", 25, 0, 0, 0, 0, 4, 29
"d:\GR\GR2\Frontend\src\api\admin.ts", "TypeScript", 43, 0, 0, 0, 0, 7, 50
"d:\GR\GR2\Frontend\src\api\axios.ts", "TypeScript", 25, 0, 0, 0, 9, 1, 35
"d:\GR\GR2\Frontend\src\api\comment.ts", "TypeScript", 13, 0, 0, 0, 0, 2, 15
"d:\GR\GR2\Frontend\src\api\index.ts", "TypeScript", 205, 0, 0, 0, 3, 22, 230
"d:\GR\GR2\Frontend\src\api\shop.ts", "TypeScript", 18, 0, 0, 0, 0, 2, 20
"d:\GR\GR2\Frontend\src\api\shopService.ts", "TypeScript", 12, 0, 0, 0, 0, 2, 14
"d:\GR\GR2\Frontend\src\assets\css\header.css", "CSS", 0, 0, 0, 0, 17, 0, 17
"d:\GR\GR2\Frontend\src\assets\css\shopDetail.css", "CSS", 0, 0, 10, 0, 0, 2, 12
"d:\GR\GR2\Frontend\src\assets\img\bgSpa1.svg", "XML", 0, 0, 0, 15, 0, 1, 16
"d:\GR\GR2\Frontend\src\assets\img\bgSpa2.svg", "XML", 0, 0, 0, 15, 0, 1, 16
"d:\GR\GR2\Frontend\src\assets\img\bgSpa3.svg", "XML", 0, 0, 0, 15, 0, 1, 16
"d:\GR\GR2\Frontend\src\assets\img\bghotel.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"d:\GR\GR2\Frontend\src\assets\img\chat.svg", "XML", 0, 0, 0, 21, 0, 1, 22
"d:\GR\GR2\Frontend\src\assets\img\health.svg", "XML", 0, 0, 0, 19, 0, 1, 20
"d:\GR\GR2\Frontend\src\assets\img\home1.svg", "XML", 0, 0, 0, 15, 0, 1, 16
"d:\GR\GR2\Frontend\src\assets\img\hotel.svg", "XML", 0, 0, 0, 20, 0, 1, 21
"d:\GR\GR2\Frontend\src\assets\img\icon.svg", "XML", 0, 0, 0, 30, 0, 1, 31
"d:\GR\GR2\Frontend\src\assets\img\iconpet.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"d:\GR\GR2\Frontend\src\assets\img\logo.svg", "XML", 0, 0, 0, 9, 0, 1, 10
"d:\GR\GR2\Frontend\src\assets\img\spa.svg", "XML", 0, 0, 0, 19, 0, 1, 20
"d:\GR\GR2\Frontend\src\components\Auth.tsx", "TypeScript JSX", 0, 81, 0, 0, 1, 2, 84
"d:\GR\GR2\Frontend\src\components\Booking.tsx", "TypeScript JSX", 0, 121, 0, 0, 3, 8, 132
"d:\GR\GR2\Frontend\src\components\Booking1.tsx", "TypeScript JSX", 0, 189, 0, 0, 3, 6, 198
"d:\GR\GR2\Frontend\src\components\BoxChat.tsx", "TypeScript JSX", 0, 90, 0, 0, 1, 6, 97
"d:\GR\GR2\Frontend\src\components\Comment.tsx", "TypeScript JSX", 0, 47, 0, 0, 0, 4, 51
"d:\GR\GR2\Frontend\src\components\Footer.tsx", "TypeScript JSX", 0, 115, 0, 0, 4, 4, 123
"d:\GR\GR2\Frontend\src\components\Header.tsx", "TypeScript JSX", 0, 206, 0, 0, 20, 5, 231
"d:\GR\GR2\Frontend\src\components\HealthItem.tsx", "TypeScript JSX", 0, 66, 0, 0, 0, 4, 70
"d:\GR\GR2\Frontend\src\components\HealthList.tsx", "TypeScript JSX", 0, 20, 0, 0, 0, 3, 23
"d:\GR\GR2\Frontend\src\components\HotelItem.tsx", "TypeScript JSX", 0, 60, 0, 0, 0, 5, 65
"d:\GR\GR2\Frontend\src\components\HotelList.tsx", "TypeScript JSX", 0, 26, 0, 0, 0, 3, 29
"d:\GR\GR2\Frontend\src\components\Message.tsx", "TypeScript JSX", 0, 32, 0, 0, 1, 4, 37
"d:\GR\GR2\Frontend\src\components\OrderForm.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 1, 1
"d:\GR\GR2\Frontend\src\components\RequestForm.tsx", "TypeScript JSX", 0, 283, 0, 0, 9, 8, 300
"d:\GR\GR2\Frontend\src\components\SearchItem.tsx", "TypeScript JSX", 0, 138, 0, 0, 0, 3, 141
"d:\GR\GR2\Frontend\src\components\ServiceItem.tsx", "TypeScript JSX", 0, 65, 0, 0, 7, 5, 77
"d:\GR\GR2\Frontend\src\components\ServiceRatingDialog.tsx", "TypeScript JSX", 0, 108, 0, 0, 0, 4, 112
"d:\GR\GR2\Frontend\src\components\SpaList.tsx", "TypeScript JSX", 0, 28, 0, 0, 11, 3, 42
